"country","group","Total_m","Total_f"
"AD","2534",1,0
"AE","14",5,5
"AE","1524",20,20
"AE","2534",5,5
"AE","3544",9,9
"AE","4554",5,5
"AE","5564",12,12
"AE","65",14,14
"AF","14",145,145
"AF","1524",642,642
"AF","2534",748,748
"AF","3544",488,488
"AF","4554",334,334
"AF","5564",193,193
"AF","65",116,116
"AG","14",1,1
"AG","1524",1,1
"AG","2534",1,1
"AG","65",1,1
"AL","14",5,5
"AL","1524",30,30
"AL","2534",31,31
"AL","3544",22,22
"AL","4554",32,32
"AL","5564",24,24
"AL","65",27,27
"AM","14",3,3
"AM","1524",176,176
"AM","2534",157,157
"AM","3544",155,155
"AM","4554",71,71
"AM","5564",34,34
"AM","65",25,25
"AN","2534",2,2
"AN","3544",2,2
"AN","5564",1,1
"AO","14",433,433
"AO","1524",2141,2141
"AO","2534",2094,2094
"AO","3544",1756,1756
"AO","4554",899,899
"AO","5564",512,512
"AO","65",314,314
"AR","14",218,218
"AR","1524",822,822
"AR","2534",1073,1073
"AR","3544",664,664
"AR","4554",649,649
"AR","5564",547,547
"AR","65",546,546
"AS","4554",2,2
"AS","5564",1,0
"AT","14",2,2
"AT","1524",28,28
"AT","2534",52,52
"AT","3544",71,71
"AT","4554",53,53
"AT","5564",29,29
"AT","65",63,63
"AU","14",3,3
"AU","1524",31,31
"AU","2534",54,54
"AU","3544",37,37
"AU","4554",39,39
"AU","5564",24,24
"AU","65",63,63
"AZ","1524",12,12
"AZ","2534",27,27
"AZ","3544",39,39
"AZ","4554",45,45
"AZ","5564",30,30
"BA","14",8,8
"BA","1524",86,86
"BA","2534",128,128
"BA","3544",128,128
"BA","4554",95,95
"BA","5564",106,106
"BA","65",201,201
"BB","2534",1,1
"BB","3544",2,2
"BD","14",751,751
"BD","1524",6669,6669
"BD","2534",8881,8881
"BD","3544",7997,7997
"BD","4554",6033,6033
"BD","5564",4445,4445
"BD","65",3207,3207
"BE","14",9,9
"BE","1524",35,35
"BE","2534",72,72
"BE","3544",58,58
"BE","4554",59,59
"BE","5564",45,45
"BE","65",83,83
"BF","14",19,19
"BF","1524",150,150
"BF","2534",402,402
"BF","3544",353,353
"BF","4554",178,178
"BF","5564",106,106
"BF","65",79,79
"BG","1524",24,24
"BG","2534",30,30
"BG","3544",27,27
"BG","4554",6,6
"BG","5564",13,13
"BG","65",16,16
"BH","1524",1,1
"BH","2534",5,5
"BH","3544",2,2
"BH","4554",6,6
"BH","5564",4,4
"BH","65",5,5
"BJ","14",55,55
"BJ","1524",516,516
"BJ","2534",703,703
"BJ","3544",476,476
"BJ","4554",289,289
"BJ","5564",148,148
"BJ","65",99,99
"BN","1524",10,10
"BN","2534",10,10
"BN","3544",24,24
"BN","4554",11,11
"BN","5564",10,10
"BN","65",19,19
"BO","14",357,357
"BO","1524",2013,2013
"BO","2534",1385,1385
"BO","3544",852,852
"BO","4554",720,720
"BO","5564",532,532
"BO","65",599,599
"BR","14",3753,3753
"BR","1524",13987,13987
"BR","2534",18783,18783
"BR","3544",17301,17301
"BR","4554",12205,12205
"BR","5564",7469,7469
"BR","65",6990,6990
"BS","14",3,3
"BS","1524",7,7
"BS","2534",14,14
"BS","3544",17,17
"BS","4554",6,6
"BS","5564",6,6
"BS","65",3,3
"BT","14",13,13
"BT","1524",122,122
"BT","2534",75,75
"BT","3544",61,61
"BT","4554",47,47
"BT","5564",15,15
"BT","65",4,4
"BW","14",62,62
"BW","1524",520,520
"BW","2534",1074,1074
"BW","3544",750,750
"BW","4554",365,365
"BW","5564",192,192
"BW","65",132,132
"BZ","14",2,2
"BZ","1524",7,7
"BZ","2534",8,8
"BZ","3544",4,4
"BZ","4554",10,10
"BZ","5564",4,4
"BZ","65",9,9
"CA","14",9,9
"CA","1524",67,67
"CA","2534",85,85
"CA","3544",76,76
"CA","4554",66,66
"CA","5564",44,44
"CA","65",145,145
"CD","14",1203,1203
"CD","1524",8470,8470
"CD","2534",10979,10979
"CD","3544",7460,7460
"CD","4554",4273,4273
"CD","5564",2150,2150
"CD","65",953,953
"CH","14",1,1
"CH","1524",14,14
"CH","2534",30,30
"CH","3544",18,18
"CH","4554",9,9
"CH","5564",6,6
"CH","65",14,14
"CL","14",16,16
"CL","1524",147,147
"CL","2534",256,256
"CL","3544",268,268
"CL","4554",204,204
"CL","5564",190,190
"CL","65",209,209
"CM","14",104,104
"CM","1524",886,886
"CM","2534",1372,1372
"CM","3544",877,877
"CM","4554",423,423
"CM","5564",190,190
"CM","65",108,108
"CN","14",2551,2551
"CN","1524",33647,33647
"CN","2534",47895,47895
"CN","3544",37583,37583
"CN","4554",35492,35492
"CN","5564",28531,28531
"CN","65",28067,28067
"CO","14",440,440
"CO","1524",1350,1350
"CO","2534",1788,1788
"CO","3544",1486,1486
"CO","4554",1124,1124
"CO","5564",914,914
"CO","65",1256,1256
"CR","14",27,27
"CR","1524",52,52
"CR","2534",86,86
"CR","3544",86,86
"CR","4554",59,59
"CR","5564",51,51
"CR","65",73,73
"CU","14",2,2
"CU","1524",80,80
"CU","2534",189,189
"CU","3544",116,116
"CU","4554",96,96
"CU","5564",78,78
"CU","65",114,114
"CZ","1524",22,22
"CZ","2534",44,44
"CZ","3544",61,61
"CZ","4554",99,99
