"Sentiment","SentimentText"
"2","Stuning even for the nongamerThis sound track was beautiful It paints the senery in your mind so well I would recomend it even to people who hate vid game music I have played the game Chrono Cross but out of all of the games I have ever played it has the best music It backs away from crude keyboarding and takes a fresher step with grate guitars and soulful orchestras It would impress anyone who cares to listen"
"2","The best soundtrack ever to anythingIm reading a lot of reviews saying that this is the best game soundtrack and I figured that Id write a review to disagree a bit This in my opinino is Yasunori Mitsudas ultimate masterpiece The music is timeless and Im been listening to it for years now and its beauty simply refuses to fadeThe price tag on this is pretty staggering I must say but if you are going to buy any cd for this much money this is the only one that I feel would be worth every penny"
"2","AmazingThis soundtrack is my favorite music of all time hands down The intense sadness of Prisoners of Fate which means all the more if youve played the game and the hope in A Distant Promise and Girl who Stole the Star have been an important inspiration to me personally throughout my teen years The higher energy tracks like Chrono Cross Times Scar Time of the Dreamwatch and Chronomantique indefinably remeniscent of Chrono Trigger are all absolutely superb as wellThis soundtrack is amazing music probably the best of this composers work I havent heard the Xenogears soundtrack so I cant say for sure and even if youve never played the game it would be worth twice the price to buy itI wish I could give it 6 stars"
"2","Excellent SoundtrackI truly like this soundtrack and I enjoy video game music I have played this game and most of the music on here I enjoy and its truly relaxing and peacefulOn disk one my favorites are Scars Of Time Between Life and Death Forest Of Illusion Fortress of Ancient Dragons Lost Fragment and Drowned ValleyDisk Two The Draggons Galdorb Home Chronomantique Prisoners of Fate Gale and my girlfriend likes ZelbessDisk Three The best of the three Garden Of God Chronopolis Fates Jellyfish sea Burning Orphange Dragons Prayer Tower Of Stars Dragon God and Radical Dreamers Unstealable JewelOverall this is a excellent soundtrack and should be brought by those that like video game musicXander Cross"
"2","Remember Pull Your Jaw Off The Floor After Hearing itIf youve played the game you know how divine the music is Every single song tells a story of the game its that good The greatest songs are without a doubt Chrono Cross Times Scar Magical Dreamers The Wind The Stars and the Sea and Radical Dreamers Unstolen Jewel Translation varies This music is perfect if you ask me the best it can be Yasunori Mitsuda just poured his heart on and wrote it down on paper"
"2","an absolute masterpieceI am quite sure any of you actually taking the time to read this have played the game at least once and heard at least a few of the tracks here And whether you were aware of it or not Mitsudas music contributed greatly to the mood of every single minute of the whole gameComposed of 3 CDs and quite a few songs I havent an exact count all of which are heartrendering and impressively remarkable this soundtrack is one I assure you you will not forget It has everything for every listener from fastpaced and energetic Dancing the Tokage or Termina Home to slower and more haunting Dragon God to purely beautifully composed Times Scar to even some fantastic vocals Radical DreamersThis is one of the best videogame soundtracks out there and surely Mitsudas best ever"
"1","Buyer bewareThis is a selfpublished book and if you want to know whyread a few paragraphs Those 5 star reviews must have been written by Ms Haddons family and friendsor perhaps by herself I cant imagine anyone reading the whole thingI spent an evening with the book and a friend and we were in hysterics reading bits and pieces of it to one another It is most definitely bad enough to be entered into some kind of a worst book contest I cant believe Amazon even sells this kind of thing Maybe I can offer them my 8th grade term paper on To Kill a Mockingbirda book I am quite sure Ms Haddon never heard of Anyway unless you are in a mood to send a book to someone as a jokestay far far away from this one"
"2","Glorious storyI loved Whisper of the wicked saints The story was amazing and I was pleasantly surprised at the changes in the book I am not normaly someone who is into romance novels but the world was raving about this book and so I bought it I loved it This is a brilliant story because it is so true This book was so wonderful that I have told all of my friends to read it It is not a typical romance it is so much more Not reading this book is a crime becuase you are missing out on a heart warming story"
"2","A FIVE STAR BOOKI just finished reading Whisper of the Wicked saints I fell in love with the caracters I expected an average romance read but instead I found one of my favorite books of all time Just when I thought I could predict the outcome I was shocked The writting was so descriptive that my heart broke when Julias did and I felt as if I was there with them instead of just a distant reader If you are a lover of romance novels then this is a must read Dont let the cover fool you this book is spectacular"
"2","Whispers of the Wicked SaintsThis was a easy to read book that made me want to keep reading on and on not easy to put downIt left me wanting to read the follow on which I hope is coming soon I used to read a lot but have gotten away from it This book made me want to read again Very enjoyable"
"1","The WorstA complete waste of time Typographical errors poor grammar and a totally pathetic plot add up to absolutely nothing Im embarrassed for this author and very disappointed I actually paid for this book"
"2","Great bookThis was a great bookI just could not put it downand could not read it fast enough Boy what a book the twist and turns in this just keeps you guessing and wanting to know what is going to happen next This book makes you fall in love and can heat you upit can also make you so angery this book can make you go throu several of your emotions This is a quick read romance It is something that you will want to end your day off with if you read at night"
"2","Great ReadI thought this book was brilliant but yet realistic It showed me that to error is human I loved the fact that this writer showed the loving side of God and not the revengeful side of him I loved how it twisted and turned and I could not put it down I also loved The glass castle"
"1","Oh pleaseI guess you have to be a romance novel lover for this one and not a very discerning one All others beware It is absolute drivel I figured I was in trouble when a typo is prominently featured on the back cover but the first page of the book removed all doubt Wait maybe Im missing the point A quick reread of the beginning now makes it clear This has to be an intentional churning of overheated prose for satiric purposes Phew so glad I didnt waste 1095 after all"
"1","Awful beyond beliefI feel I have to write to keep others from wasting their money This book seems to have been written by a 7th grader with poor grammatical skills for her age As another reviewer points out there is a misspelling on the cover and I believe there is at least one per chapter For example it was mentioned twice that she had a lean on her house I was so distracted by the poor writing and weak plot that I decided to read with a pencil in hand to mark all of the horrible grammar and spelling Please dont waste your money I too believe that the good reviews must have been written by the authors relatives I will not put much faith in the reviews from now on"
"1","Dont try to fool us with fake reviewsIts glaringly obvious that all of the glowing reviews have been written by the same person perhaps the author herself They all have the same misspellings and poor sentence structure that is featured in the book Who made Veronica Haddon think she is an author"
"2","A romantic zen baseball comedyWhen you hear folks say that they dont make em like that anymore they might be talking about BY THE SEA This is a very cool story about a young Cuban girl searching for idenity who stumbles into a coastal resort kitchen gig with a zen motorcycle maintenance man three hysterical Italian chefs and a Latino fireballing right handed pitcher who plays on the team sponsored by the resorts owner As is often the case she finds herself through honest often comical but always emotional interaction with this sizzling roster of players With the perfect mix of special effects that salsa sound and flashbacks BY THE SEA gets 4 BIG stars from me"
